Credit_Score,Debt,Income,Loan_Amount,Account_Age,Years_Employed,Num_Bank_Accounts,Num_Credit_Cards,Gender,Married,Education_Level,Employment_Type,City,Housing_Status,Citizenship,Customer_ID,Zip_Code,Random_Code,Dependents,Credit_Cards_Limit,Approved
402,309750,117807,46864,0,14,1,1,Female,No,,Self-employed,Karachi,Rent,By Other Means,100000,34330,114957,4,162769,0
735,360256,194060,142482,21,37,3,6,Female,No,Master,Government,Multan,Own,By Other Means,100001,36452,405863,4,326337,0
570,73414,507019,196460,26,2,3,6,Female,Yes,PhD,Government,Multan,Mortgage,By Other Means,100002,84737,657502,2,424654,0
406,355289,227382,106701,8,40,2,3,Female,No,Bachelor,Private,Islamabad,Family,By Birth,100003,23495,119193,0,297621,0
371,180294,413769,221989,6,9,8,5,Male,Yes,PhD,Government,Islamabad,Mortgage,By Birth,100004,35139,663374,1,456325,0
320,48115,689220,247407,4,6,8,0,Female,No,PhD,Self-employed,Lahore,Mortgage,By Birth,100005,57366,575676,0,179238,0
421,351750,634727,169750,28,23,6,0,Male,No,PhD,Government,Lahore,Mortgage,By Other Means,100006,16254,804956,4,407937,0
766,40647,289189,27970,29,25,5,7,Female,Yes,Master,Self-employed,Multan,Own,By Birth,100007,14432,533254,1,141600,1
514,54607,357060,64951,9,33,6,1,Female,Yes,Bachelor,Government,Multan,Mortgage,By Other Means,100008,56754,286196,4,190350,1
630,21996,76435,227929,26,7,1,0,Female,No,PhD,Private,Islamabad,Own,By Birth,100009,28319,257396,3,363441,0
758,83697,118453,154579,9,38,2,0,Male,No,High School,Private,Lahore,Rent,By Other Means,100010,14402,414328,4,307321,1
387,308166,576549,197758,24,4,7,4,Male,Yes,Master,Self-employed,Islamabad,Own,By Other Means,100011,90564,335552,2,172987,0
672,302292,265749,154307,17,35,1,2,Male,No,PhD,Self-employed,Islamabad,Family,By Other Means,100012,36955,702381,3,99032,0
399,67764,540848,52683,6,25,8,2,Female,No,PhD,,Islamabad,Rent,By Birth,100013,81987,986942,0,115726,0
430,354045,22853,126144,24,9,3,7,Male,No,Bachelor,Government,Karachi,Mortgage,By Birth,100014,93797,283012,3,138913,0
608,352868,619952,83399,30,32,4,7,Female,Yes,PhD,Self-employed,Lahore,Own,By Other Means,100015,97264,196709,0,222374,1
643,386910,130884,115261,17,35,7,0,Female,No,PhD,Private,Islamabad,Family,By Birth,100016,79830,461753,0,143519,0
791,239190,68022,203223,12,30,7,1,Female,Yes,PhD,Private,Karachi,Mortgage,By Birth,100017,54023,883068,2,377756,0
713,8888,415952,212190,10,37,2,1,Male,No,Bachelor,Self-employed,Karachi,Own,By Other Means,100018,59572,921939,1,178376,1
685,219738,315868,97874,9,24,5,3,Male,No,PhD,Private,Lahore,Rent,By Birth,100019,90534,805651,4,141653,0
491,221432,443500,145469,21,12,8,1,Male,No,High School,Self-employed,Islamabad,Own,By Birth,100020,52624,980671,3,423565,0
576,361085,126911,107330,30,0,9,1,Female,Yes,Master,Government,Multan,Family,By Birth,100021,12807,294308,2,128861,0
460,279477,424862,34655,8,35,5,4,Male,Yes,PhD,Private,Lahore,Own,By Birth,100022,36891,921171,2,432424,0
759,-36355,497781,241245,14,35,2,4,Female,Yes,Bachelor,Private,Islamabad,Family,By Birth,100023,12810,765981,3,447288,1
613,230487,105694,70446,13,23,4,5,Female,Yes,High School,Self-employed,Islamabad,Own,By Birth,100024,74953,715100,1,470581,0
321,129686,427558,48639,2,26,5,0,Male,No,Master,Government,Karachi,Family,By Other Means,100025,97322,832946,4,477317,0
552,-162217,516533,23830,23,17,6,5,Female,Yes,Bachelor,Private,Islamabad,Own,By Birth,100026,35551,802329,2,168880,0
774,249602,740980,237688,13,14,6,1,Female,No,Bachelor,Private,Karachi,Own,By Other Means,100027,50782,183272,0,447946,1
358,249434,215333,13014,20,16,1,2,Female,Yes,Master,Government,Islamabad,Own,By Birth,100028,98880,769840,1,103861,0
810,365314,279004,239395,15,28,6,1,Male,No,Master,Government,Multan,Family,By Birth,100029,56014,744645,4,384519,0
775,337819,415151,197803,22,4,1,6,Female,No,Bachelor,Self-employed,Lahore,Mortgage,By Other Means,100030,16706,572256,3,486813,0
489,180926,509218,179133,28,10,5,7,Female,No,High School,Private,Islamabad,Own,By Other Means,100031,71752,585780,2,108232,0
543,-67664,750158,73752,27,15,7,1,Male,Yes,High School,Private,Karachi,Own,By Other Means,100032,79483,283309,4,192956,1
804,86153,660477,157931,2,33,8,7,Male,No,High School,Government,Karachi,Rent,By Other Means,100033,90945,529266,2,234035,1
430,93616,114203,221661,7,16,5,0,Female,Yes,Master,Government,Karachi,Own,By Other Means,100034,65072,675284,4,498938,0
784,297429,206793,81758,1,32,2,2,Male,Yes,PhD,Private,Karachi,Own,By Other Means,100035,67549,507309,0,170579,0
320,256349,119039,154980,28,30,3,7,Male,No,Bachelor,Government,Karachi,Mortgage,By Other Means,100036,92457,284519,4,173754,0
466,46996,284982,164765,23,17,7,0,Female,Yes,High School,Self-employed,Karachi,Family,By Other Means,100037,51419,709726,0,253074,0
573,309091,710690,94418,1,24,4,1,Female,Yes,PhD,Self-employed,Lahore,Rent,By Birth,100038,63880,852743,3,435104,0
687,313174,646498,149675,22,4,1,2,Female,No,Master,Government,Islamabad,Rent,By Other Means,100039,55156,283923,1,293536,0
615,304587,774936,229491,17,29,3,1,Male,Yes,Bachelor,Private,Lahore,Rent,By Birth,100040,26164,601265,4,271649,0
313,128344,120166,214948,6,22,2,7,Male,Yes,PhD,Government,Lahore,Mortgage,By Birth,100041,28152,785900,2,97392,0
541,229685,767235,48702,16,37,9,5,Female,Yes,Bachelor,Private,Lahore,Rent,By Other Means,100042,51039,372855,3,200069,1
645,327608,50384,154417,5,17,1,0,Female,No,Master,Self-employed,Multan,Family,By Birth,100043,25846,989783,4,225972,0
639,128019,327522,27687,9,31,9,7,Male,Yes,Master,Self-employed,Islamabad,Own,By Other Means,100044,33819,930600,3,467564,1
391,135024,389462,34581,6,29,5,6,Female,No,High School,Self-employed,Lahore,Own,By Other Means,100045,29502,923513,3,193771,0
666,183273,445859,173465,3,28,6,0,Female,No,Bachelor,Private,Karachi,Family,By Birth,100046,26156,740895,3,447994,1
754,120454,430142,98733,10,35,6,4,Male,Yes,Bachelor,Government,Islamabad,Family,By Other Means,100047,79381,430774,3,353788,1
727,124444,58977,13292,15,8,6,2,Male,No,PhD,Private,Lahore,Family,By Birth,100048,38533,938113,2,243109,1
808,374319,43652,112809,26,22,9,4,Female,No,Bachelor,Private,Lahore,Mortgage,By Birth,100049,54000,706439,0,300309,0
334,304604,738655,139520,16,2,9,7,Female,Yes,Bachelor,Self-employed,Multan,Own,By Birth,100050,82847,308038,0,453775,0
505,153868,30270,24628,27,21,7,5,Female,Yes,PhD,Government,Islamabad,Mortgage,By Birth,100051,28317,658989,2,396343,0
380,162818,627092,150750,5,39,3,6,Male,Yes,High School,Private,Islamabad,Own,By Other Means,100052,15822,697564,3,290095,0
687,15,212702,174887,19,30,7,2,Female,No,Bachelor,Government,Karachi,Family,By Other Means,100053,51467,604540,2,286484,1
301,311901,56417,31477,30,21,5,7,Female,Yes,PhD,Private,Karachi,Rent,By Birth,100054,97981,222085,3,119577,0
689,157029,147390,58826,18,10,9,3,Male,Yes,Master,Private,Islamabad,Family,By Birth,100055,13666,235258,3,177185,0
405,81541,460110,202822,19,2,8,6,Male,No,High School,Self-employed,Karachi,Family,By Other Means,100056,81022,169205,1,52819,0
776,21292,600330,225598,21,13,6,2,Male,Yes,PhD,Self-employed,Karachi,Mortgage,By Birth,100057,32262,203080,0,464002,1
701,384838,345397,25010,20,18,5,6,Male,Yes,Bachelor,Self-employed,Lahore,Rent,By Birth,100058,74373,509492,2,302221,0
461,162948,199913,70146,17,30,2,6,Male,Yes,High School,Government,Karachi,Mortgage,By Birth,100059,65332,307677,4,430186,0
501,191799,334867,63133,14,35,3,7,Female,No,High School,Private,Multan,Rent,By Other Means,100060,43538,200343,3,446861,0
569,47046,171389,243934,1,31,3,1,Male,Yes,High School,Self-employed,Lahore,Rent,By Birth,100061,17659,982041,4,366023,0
570,14817,711794,45643,18,25,4,2,Female,No,Master,Government,Karachi,Rent,By Other Means,100062,92363,144458,1,121101,1
755,9759,721485,102100,26,0,3,4,Male,No,PhD,Government,Lahore,Family,By Birth,100063,66417,799800,0,104585,1
761,179504,232056,125956,5,1,7,0,Female,Yes,High School,Private,Karachi,Mortgage,By Other Means,100064,52091,960155,3,280163,0
551,268556,357593,182759,11,5,6,0,Male,Yes,Bachelor,Self-employed,Karachi,Family,By Other Means,100065,58420,310204,4,211524,0
595,282648,749462,184065,29,13,8,7,Male,Yes,Bachelor,Self-employed,Karachi,Own,By Other Means,100066,36234,202549,1,369992,1
637,370644,773340,246191,0,27,2,2,Male,Yes,Bachelor,Self-employed,Lahore,Mortgage,By Birth,100067,16816,298732,0,330392,0
352,270651,101141,239855,26,32,2,3,Female,No,High School,Self-employed,Islamabad,Own,By Birth,100068,59902,395771,4,223925,0
516,21050,544845,161150,22,24,1,0,Female,Yes,Bachelor,Government,Karachi,Family,By Birth,100069,13884,598444,2,324744,1
487,398036,457599,70708,23,39,5,5,Male,No,High School,Self-employed,Multan,Own,By Other Means,100070,93519,853749,3,436214,0
679,100153,419256,22270,22,17,7,0,Female,Yes,PhD,Self-employed,Karachi,Own,By Other Means,100071,15179,891213,1,144086,1
